Title,Category,Price (£),Rating (1-5),In Stock
Sharp Objects,Mystery,£47.82,4,True
"In a Dark, Dark Wood",Mystery,£19.63,1,True
The Past Never Ends,Mystery,£56.50,4,True
A Murder in Time,Mystery,£16.64,1,True
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,£44.10,4,True
The Last Mile (Amos Decker #2),Mystery,£54.21,2,True
That Darkness (Gardiner and Renner #1),Mystery,£13.92,1,True
Tastes Like Fear (DI Marnie Rome #3),Mystery,£10.69,1,True
A Time of Torment (Charlie Parker #14),Mystery,£48.35,5,True
A Study in Scarlet (Sherlock Holmes #1),Mystery,£16.73,2,True
Poisonous (Max Revere Novels #3),Mystery,£26.80,3,True
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,£54.36,4,True
Most Wanted,Mystery,£35.28,3,True
Hide Away (Eve Duncan #20),Mystery,£11.84,1,True
Boar Island (Anna Pigeon #19),Mystery,£59.48,3,True
The Widow,Mystery,£27.26,2,True
Playing with Fire,Mystery,£13.71,3,True
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,£25.37,5,True
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,£52.30,5,True
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,£20.89,4,True
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,£24.80,4,True
In the Woods (Dublin Murder Squad #1),Mystery,£38.38,2,True
The Silkworm (Cormoran Strike #2),Mystery,£23.05,5,True
The Exiled,Mystery,£43.45,3,True
The Cuckoo's Calling (Cormoran Strike #1),Mystery,£19.21,1,True
Extreme Prey (Lucas Davenport #26),Mystery,£25.40,3,True
Career of Evil (Cormoran Strike #3),Mystery,£24.72,2,True
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,£57.70,4,True
The Girl You Lost,Mystery,£12.29,5,True
The Girl In The Ice (DCI Erika Foster #1),Mystery,£15.85,3,True
Blood Defense (Samantha Brinkman #1),Mystery,£20.30,3,True
1st to Die (Women's Murder Club #1),Mystery,£53.98,1,True
Tipping the Velvet,Historical Fiction,£53.74,1,True
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,£29.69,3,True
A Flight of Arrows (The Pathfinders #2),Historical Fiction,£55.53,5,True
The House by the Lake,Historical Fiction,£36.95,1,True
Mrs. Houdini,Historical Fiction,£30.25,5,True
The Marriage of Opposites,Historical Fiction,£28.08,4,True
Glory over Everything: Beyond The Kitchen House,Historical Fiction,£45.84,3,True
"Love, Lies and Spies",Historical Fiction,£20.55,2,True
A Paris Apartment,Historical Fiction,£39.01,4,True
Lilac Girls,Historical Fiction,£17.28,2,True
The Constant Princess (The Tudor Court #1),Historical Fiction,£16.62,3,True
The Invention of Wings,Historical Fiction,£37.34,1,True
World Without End (The Pillars of the Earth #2),Historical Fiction,£32.97,4,True
The Passion of Dolssa,Historical Fiction,£28.32,5,True
Girl With a Pearl Earring,Historical Fiction,£26.77,1,True
Voyager (Outlander #3),Historical Fiction,£21.07,5,True
The Red Tent,Historical Fiction,£35.66,5,True
The Last Painting of Sara de Vos,Historical Fiction,£55.55,2,True
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,£49.53,1,True
Girl in the Blue Coat,Historical Fiction,£46.83,2,True
Between Shades of Gray,Historical Fiction,£20.79,5,True
While You Were Mine,Historical Fiction,£41.32,5,True
The Secret Healer,Historical Fiction,£34.56,3,True
Starlark,Historical Fiction,£25.83,3,True
Lost Among the Living,Historical Fiction,£27.70,4,True
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,£16.97,5,True
